,age,job,marital,education,month,duration,Account No
0,58,management,married,tertiary,apr,261,409000611074
1,44,technician,single,secondary,feb,151,409000493201
2,33,entrepreneur,married,secondary,mar,76,409000425051
3,47,blue-collar,married,unknown,apr,92,409000405747
4,33,unknown,single,unknown,dec,198,409000438611
5,35,management,married,tertiary,nov,139,409000493210
6,28,management,single,tertiary,jun,217,409000438620
7,42,entrepreneur,divorced,tertiary,jul,380,1196711
8,58,retired,married,primary,aug,50,1196428
9,43,technician,single,secondary,dec,55,409000362497
